,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1610437330519479,0.5762629540440459,0.41110535286305333,0.32399999999999984,0.272
1,BR(BM25),0.16178812744196228,0.5942715722990951,0.4138139855521546,0.32399999999999984,0.27399999999999997
2,BR(PL2),0.1496715638864852,0.5525300462070993,0.39672770584890027,0.3119999999999998,0.25599999999999995
3,BR(InL2),0.16922670080394223,0.6082988948306595,0.42341656661611926,0.32799999999999974,0.28400000000000003
4,BR(Hiemstra_LM),0.21801253923430536,0.7093710951167093,0.4830336567149322,0.44000000000000006,0.332
