,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1652903681288358,0.6125221070410145,0.42607262443638194,0.34399999999999986,0.2800000000000001
1,BR(BM25),0.16723822925854825,0.6224078110348829,0.4284305488352883,0.3599999999999999,0.276
2,BR(PL2),0.1570925651905426,0.5933266096337525,0.415784677576807,0.33999999999999986,0.26
3,BR(InL2),0.17344463909118482,0.6240210206366981,0.43682775580187894,0.36799999999999977,0.28600000000000003
4,BR(Hiemstra_LM),0.2272009311704123,0.7630814307458144,0.49815333259274747,0.43999999999999995,0.352
