,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14631922160401142,0.5435541028172607,0.4004572050727954,0.29599999999999993,0.236
1,BR(BM25),0.14708359123855191,0.5524132806764386,0.40252077285588395,0.3039999999999999,0.24600000000000002
2,BR(PL2),0.1395970000615913,0.5400381242220558,0.39283341226639495,0.2879999999999999,0.22199999999999995
3,BR(InL2),0.15609673256714618,0.5668999682274911,0.41219833370217424,0.3119999999999999,0.254
4,BR(Hiemstra_LM),0.20705749309607435,0.7341776693445945,0.4716452534119194,0.40399999999999986,0.30999999999999994
