,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1604831827521586,0.6422415974829767,0.415723689109598,0.3479999999999999,0.266
1,BR(BM25),0.16043872944060777,0.6375339467335323,0.4162357435811627,0.35199999999999987,0.268
2,BR(PL2),0.15002711650909012,0.5933473355596044,0.40180392086165556,0.32799999999999985,0.256
3,BR(InL2),0.16975678871346989,0.6443301972346714,0.4286484899158104,0.3759999999999998,0.28
4,BR(Hiemstra_LM),0.22562658622789544,0.7475156567839424,0.49109186171378044,0.43200000000000005,0.34199999999999997
