,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.11112001646572925,0.534850171306342,0.3332065929657793,0.23600000000000004,0.18199999999999997
1,BR(BM25),0.11710533354716547,0.5554870821123099,0.34349251649869744,0.252,0.19399999999999995
2,BR(PL2),0.10623867494196093,0.5200231269541249,0.3240689350206011,0.22400000000000006,0.17599999999999993
3,BR(InL2),0.11936283211804129,0.5554104160392764,0.34707331677453696,0.264,0.18999999999999992
4,BR(Hiemstra_LM),0.18381584373414,0.7070944410664627,0.4307571693235157,0.38399999999999984,0.2879999999999999
