,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.12856640011105214,0.5003279172378009,0.3636762815792325,0.26799999999999996,0.2139999999999999
1,BR(BM25),0.13142059084580845,0.535507132652294,0.36951309342024596,0.2679999999999999,0.21599999999999991
2,BR(PL2),0.12558102438223057,0.49757397609268833,0.3611972171988356,0.2519999999999999,0.21599999999999986
3,BR(InL2),0.1383372343233921,0.5381898789151615,0.37631045301491867,0.2999999999999999,0.23599999999999993
4,BR(Hiemstra_LM),0.1849412919746096,0.6393710272028759,0.42974583388242066,0.3679999999999999,0.29
