,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.12096689961526785,0.4442141126089818,0.31113441470455183,0.248,0.19599999999999998
1,BR(BM25),0.11947011178455114,0.44242325548241035,0.3099989904123765,0.252,0.18999999999999997
2,BR(PL2),0.11864889331818809,0.430162067181859,0.30789894703007425,0.24400000000000002,0.19
3,BR(InL2),0.12627182546322074,0.4679059873140144,0.317779751622374,0.272,0.20199999999999999
4,BR(Hiemstra_LM),0.15243587432569272,0.5558565407288536,0.34792724982376505,0.312,0.24000000000000005
