,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1404456066283815,0.5325171466354953,0.3926633296754129,0.2799999999999999,0.23199999999999998
1,BR(BM25),0.14165632575675047,0.5418629510462845,0.39532660925342733,0.28799999999999987,0.23199999999999998
2,BR(PL2),0.13410829728427737,0.5313113649323143,0.3866128102041544,0.26799999999999985,0.22799999999999998
3,BR(InL2),0.14907632091781786,0.5581541132217825,0.40461763311822246,0.29999999999999993,0.244
4,BR(Hiemstra_LM),0.20244454815592355,0.7107998117824204,0.46623438854676924,0.39199999999999996,0.3119999999999999
