,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14216111835837,0.592755401483209,0.3692936209435921,0.31199999999999994,0.222
1,BR(BM25),0.14377561596159766,0.5965079916078116,0.3722623464536646,0.30799999999999994,0.22400000000000003
2,BR(PL2),0.13412307283348107,0.5788946575277872,0.3571373904796318,0.292,0.21399999999999994
3,BR(InL2),0.15124987367351866,0.610208542784979,0.38264282881910744,0.3239999999999999,0.22999999999999995
4,BR(Hiemstra_LM),0.20802950938374082,0.7710186507936507,0.45874204425399184,0.39999999999999986,0.31599999999999995
