,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14843615554380457,0.6298628549695735,0.38930499008094827,0.29999999999999993,0.2439999999999999
1,BR(BM25),0.15009257825286682,0.6374708735788864,0.39258048641047744,0.3079999999999999,0.24599999999999994
2,BR(PL2),0.14310886460265798,0.6184745203274953,0.38071715541456674,0.29599999999999993,0.23
3,BR(InL2),0.15973283157605855,0.6535488222346933,0.40354336587430767,0.32799999999999985,0.254
4,BR(Hiemstra_LM),0.21388282704558897,0.7710741054024005,0.47044001173570393,0.428,0.316
