,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.16006828641454213,0.6159872095825916,0.41561410857131803,0.3479999999999999,0.26400000000000007
1,BR(BM25),0.1637185241374274,0.6500563509005752,0.42100223979613516,0.35599999999999987,0.27
2,BR(PL2),0.15162323580979467,0.595850615937563,0.4040669149672781,0.34399999999999986,0.244
3,BR(InL2),0.17242652670939204,0.6597655467138225,0.4324252360912246,0.35599999999999987,0.28200000000000003
4,BR(Hiemstra_LM),0.23037882366388782,0.7697344945684703,0.49680899077476126,0.4280000000000001,0.34199999999999997
