,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.12691032058287038,0.5770021462031473,0.3495084804385123,0.2920000000000001,0.21600000000000003
1,BR(BM25),0.12848993332315412,0.5721276253077083,0.35211130466469376,0.3040000000000001,0.218
2,BR(PL2),0.12425273219833398,0.5686003321237316,0.34495219927051834,0.2800000000000001,0.20800000000000002
3,BR(InL2),0.13063158138859676,0.5657318609111155,0.3547524868498259,0.31200000000000006,0.22599999999999998
4,BR(Hiemstra_LM),0.17915841486659237,0.6942779304532674,0.4163811821346256,0.3759999999999999,0.27799999999999997
