,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1341870048291558,0.5739299295475765,0.36615308569498567,0.28400000000000003,0.21600000000000003
1,BR(BM25),0.1355519800270496,0.5814288626460269,0.3690896572000328,0.29600000000000004,0.218
2,BR(PL2),0.1288454499410629,0.5740925784092318,0.3595074130959426,0.284,0.20400000000000001
3,BR(InL2),0.14302504449565695,0.6015314128585723,0.3777705410795508,0.304,0.22599999999999998
4,BR(Hiemstra_LM),0.18905685685161214,0.7021977065022712,0.4331181397712966,0.3839999999999999,0.286
