,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14190655117965054,0.601604419257588,0.38454606159366,0.30799999999999994,0.23999999999999996
1,BR(BM25),0.14388468948974173,0.6158750779306837,0.38843624864161574,0.30399999999999994,0.23799999999999993
2,BR(PL2),0.13649063412015378,0.5900978243546997,0.3773667967704417,0.29999999999999993,0.22399999999999987
3,BR(InL2),0.15229871523591185,0.628949395665859,0.39905380650817696,0.34399999999999986,0.254
4,BR(Hiemstra_LM),0.20817994593445363,0.7468937272034766,0.46591682067085266,0.40399999999999986,0.3079999999999999
