,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15263693116648136,0.632848369536529,0.3968380324501186,0.3079999999999999,0.2619999999999999
1,BR(BM25),0.15323488921985126,0.6357145096802701,0.3981264732962871,0.3079999999999999,0.2619999999999999
2,BR(PL2),0.14398017637064042,0.58458560040074,0.3828644552850473,0.3119999999999999,0.2499999999999999
3,BR(InL2),0.15899581045833933,0.6348369601776772,0.40585564297816495,0.3199999999999999,0.264
4,BR(Hiemstra_LM),0.21447586122960755,0.747759569610788,0.47339952852234896,0.44,0.3179999999999999
