,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.16522887691457783,0.6052917177073592,0.4197023766823355,0.34399999999999975,0.28
1,BR(BM25),0.16755688744052616,0.6140025919235528,0.42278200404256855,0.35599999999999987,0.278
2,BR(PL2),0.1548235300975022,0.5707984995184442,0.40520204077407074,0.3359999999999998,0.264
3,BR(InL2),0.17413178349051378,0.6355563437273045,0.43280297503468695,0.3599999999999999,0.292
4,BR(Hiemstra_LM),0.22262973939136368,0.7376974836757445,0.49172752143953885,0.4359999999999999,0.344
