,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15671055177914398,0.653924969987995,0.40150762550612684,0.3239999999999999,0.256
1,BR(BM25),0.15905449838564562,0.667511794525811,0.4053580932172155,0.3319999999999999,0.256
2,BR(PL2),0.14954686305238873,0.6552255085872731,0.392518541544556,0.30799999999999983,0.23799999999999993
3,BR(InL2),0.16574673447582391,0.6544539568228971,0.413514110381568,0.3439999999999999,0.272
4,BR(Hiemstra_LM),0.21949680921276588,0.7696625412788204,0.48088219864022813,0.444,0.32599999999999996
