,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1266092313041974,0.547551279791679,0.3541575604982661,0.27999999999999997,0.20199999999999996
1,BR(BM25),0.12928579615690347,0.5723189256468065,0.3585932187873858,0.2879999999999999,0.20199999999999996
2,BR(PL2),0.12129296697169378,0.5530470080476556,0.34708429281804626,0.27599999999999997,0.19399999999999995
3,BR(InL2),0.13445520277250264,0.5775051035816379,0.36664981212733705,0.284,0.21400000000000002
4,BR(Hiemstra_LM),0.18789086290358045,0.6913487274176039,0.4320098461604557,0.368,0.284
