,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.150649986834494,0.6315845672163792,0.39157092035496105,0.3039999999999999,0.2539999999999999
1,BR(BM25),0.15235996073186703,0.6403118585622064,0.3951483532458511,0.3159999999999999,0.2559999999999999
2,BR(PL2),0.14395360496325552,0.6090167807365235,0.3817535097735963,0.2999999999999999,0.2359999999999999
3,BR(InL2),0.1588781581412975,0.6534174875264371,0.40420034785543707,0.31999999999999984,0.26399999999999996
4,BR(Hiemstra_LM),0.2151536676512899,0.7827805893345914,0.47345722925664324,0.44,0.31599999999999995
