,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15929688999986136,0.6051600299342235,0.41131611583294925,0.32799999999999985,0.26799999999999996
1,BR(BM25),0.16211261764460924,0.6143122330967082,0.4152077459592759,0.3319999999999998,0.27199999999999996
2,BR(PL2),0.1524398883119547,0.5776125490324804,0.4023412963732493,0.32399999999999984,0.25599999999999995
3,BR(InL2),0.16990861936225013,0.6346701462316225,0.42643219834595014,0.34399999999999986,0.282
4,BR(Hiemstra_LM),0.22046196680571342,0.7527978146001948,0.48924150370307656,0.43599999999999994,0.34
