,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.13013768874748696,0.5946060726862328,0.36227925848731835,0.28400000000000003,0.20399999999999996
1,BR(BM25),0.13187893444090595,0.5922547044302497,0.36517023939338755,0.3,0.20999999999999996
2,BR(PL2),0.12289636113145003,0.5716479357888952,0.35137546670173964,0.272,0.1979999999999999
3,BR(InL2),0.13821619689965797,0.5893941740230976,0.3738170829613781,0.30799999999999994,0.22200000000000003
4,BR(Hiemstra_LM),0.18700170431664337,0.6940814376125805,0.43621793471031245,0.3799999999999998,0.2839999999999999
