,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1608127699519078,0.6329709939423661,0.4088794464569285,0.33999999999999986,0.26399999999999996
1,BR(BM25),0.1625856510275215,0.6490714518766607,0.4125195277922047,0.34399999999999986,0.26799999999999996
2,BR(PL2),0.15089986188735152,0.6012855584271102,0.3968749677430571,0.3279999999999999,0.25399999999999995
3,BR(InL2),0.16961166905400504,0.6450072600219179,0.4224727242264003,0.3599999999999999,0.27599999999999997
4,BR(Hiemstra_LM),0.2204785143217234,0.759065477771179,0.4870617022063534,0.43199999999999994,0.336
