,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.13714620080653972,0.59020128060409,0.3679388693963521,0.2719999999999999,0.22199999999999992
1,BR(BM25),0.14025791227233408,0.6077086001717581,0.37596318319542904,0.27999999999999997,0.22999999999999995
2,BR(PL2),0.13089409828671933,0.5687089672515367,0.35678263353409917,0.2639999999999999,0.20799999999999993
3,BR(InL2),0.1493904040687051,0.632811884340068,0.3877235456529852,0.29599999999999993,0.23799999999999996
4,BR(Hiemstra_LM),0.21031437168942824,0.7661304964005679,0.4653322230939791,0.43199999999999994,0.31399999999999995
