,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.12813671086714337,0.5493073586047796,0.34710398863863623,0.2799999999999999,0.2059999999999999
1,BR(BM25),0.1287113747746548,0.5408430058399494,0.35002399330641,0.272,0.2079999999999999
2,BR(PL2),0.12170017921891213,0.5356177925612253,0.339298906672029,0.25999999999999995,0.1979999999999999
3,BR(InL2),0.13685857331905812,0.5495726790564153,0.3578725726835586,0.29199999999999987,0.21799999999999997
4,BR(Hiemstra_LM),0.1978118327753074,0.7486558368679581,0.4458602126721633,0.39999999999999986,0.30199999999999994
