,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14863171938383044,0.5930915604563896,0.38885891106784903,0.3039999999999998,0.25
1,BR(BM25),0.15122840547241134,0.6154847416209456,0.3931700186196389,0.31599999999999984,0.258
2,BR(PL2),0.1415107027750777,0.5826792621135444,0.3786294086965738,0.2839999999999998,0.234
3,BR(InL2),0.1571235115025957,0.6004540239892594,0.40057920592696883,0.33599999999999985,0.258
4,BR(Hiemstra_LM),0.21469525247204602,0.7723194156891371,0.4805110913903486,0.4159999999999999,0.32599999999999996
