,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.12589691578909723,0.4685701679367844,0.3222461947606819,0.23999999999999996,0.19599999999999998
1,BR(BM25),0.1255981108034397,0.4680327268290314,0.3219336465946092,0.23999999999999996,0.198
2,BR(PL2),0.12426590352799033,0.4665185161116981,0.3206966469711377,0.23199999999999998,0.19599999999999998
3,BR(InL2),0.12957060061760878,0.47397442111830357,0.3258961882940419,0.252,0.20999999999999996
4,BR(Hiemstra_LM),0.15811253990723925,0.5924411285881873,0.35722702518426475,0.31199999999999994,0.23399999999999999
