,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.13373776439101895,0.457298390188634,0.3079763793714163,0.248,0.204
1,BR(BM25),0.13338167447265767,0.45762265287265286,0.30778098925315056,0.248,0.204
2,BR(PL2),0.13322401804950695,0.45790913499937885,0.30778496696466034,0.24400000000000002,0.20800000000000005
3,BR(InL2),0.1354223741251478,0.455739362562365,0.3095524348750235,0.26,0.21799999999999997
4,BR(Hiemstra_LM),0.14550929306026392,0.5110586635586635,0.32026249727746475,0.29600000000000004,0.22999999999999993
