,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14694608879024088,0.6068666172865559,0.38596611588306806,0.2999999999999999,0.2499999999999999
1,BR(BM25),0.1478758802138818,0.611364430067615,0.38806315381661505,0.30799999999999983,0.24999999999999992
2,BR(PL2),0.14029541468927298,0.5831978140721691,0.37434197775235284,0.2959999999999999,0.23399999999999996
3,BR(InL2),0.15333367633261058,0.6019179066595451,0.39456829732947335,0.31999999999999984,0.25199999999999995
4,BR(Hiemstra_LM),0.2128195782437674,0.7660938246452605,0.4698109433789805,0.43599999999999994,0.31199999999999994
