,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.13416605856150138,0.5626613609220025,0.36330446949818596,0.284,0.22599999999999995
1,BR(BM25),0.13899561154916001,0.589977401746085,0.3726977057865239,0.296,0.2259999999999999
2,BR(PL2),0.12841495294869623,0.5512098244544037,0.35201038126100864,0.27199999999999996,0.20999999999999996
3,BR(InL2),0.14671664533483605,0.6103654673241781,0.38192629736954026,0.31199999999999994,0.23399999999999999
4,BR(Hiemstra_LM),0.20960046874713484,0.7858132052912441,0.4653308718812665,0.43599999999999994,0.30999999999999994
