,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15664406990056048,0.6446557539682538,0.40659967492042903,0.34399999999999986,0.26
1,BR(BM25),0.15937911691593412,0.6639030496008422,0.4107538938771981,0.3479999999999998,0.262
2,BR(PL2),0.15024775382035876,0.6243661146006867,0.39570099127191904,0.33999999999999986,0.252
3,BR(InL2),0.1675377157849638,0.6749324125876727,0.4217298596862893,0.3679999999999998,0.28200000000000003
4,BR(Hiemstra_LM),0.22459283225913837,0.771401673269605,0.48509808961523454,0.43200000000000005,0.33
