,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14409569690622182,0.5345625128159702,0.3777331546868919,0.2999999999999999,0.24
1,BR(BM25),0.14513610012881398,0.5574484834181406,0.38104322069785285,0.2999999999999999,0.24
2,BR(PL2),0.13642884726971757,0.5305277291110962,0.36995172085747163,0.29199999999999987,0.22799999999999998
3,BR(InL2),0.15008159787156805,0.5462087548421837,0.38755317567574954,0.3279999999999999,0.24799999999999997
4,BR(Hiemstra_LM),0.20453477967421724,0.7480752030217827,0.46813323315178273,0.38399999999999984,0.3099999999999999
