,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.13869175547801885,0.5667804454312776,0.36396303916228967,0.30399999999999994,0.22
1,BR(BM25),0.14011339068642908,0.5749567600234201,0.36719488130515077,0.30799999999999994,0.21799999999999997
2,BR(PL2),0.1316597463577935,0.5614370739313638,0.3541112420537677,0.2839999999999999,0.20999999999999994
3,BR(InL2),0.14884758278996257,0.593422160822724,0.3790750806237686,0.3319999999999999,0.22399999999999995
4,BR(Hiemstra_LM),0.20700796112710917,0.7618672978221172,0.45846646386384005,0.40399999999999986,0.31599999999999995
