,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14627129488982002,0.571245201290791,0.38146305628593113,0.31999999999999984,0.254
1,BR(BM25),0.1478292244042236,0.5713385010311325,0.38478369719255384,0.3159999999999998,0.26000000000000006
2,BR(PL2),0.13969197461394742,0.5535430476835059,0.37155437170906885,0.2999999999999998,0.23199999999999998
3,BR(InL2),0.15380602513476613,0.5819184120226399,0.39227781678542556,0.3439999999999999,0.26
4,BR(Hiemstra_LM),0.2119031932736309,0.771011605054399,0.4761507585013303,0.4079999999999999,0.326
