,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15627222895267098,0.6489039767331803,0.4004770471192514,0.3159999999999999,0.2619999999999999
1,BR(BM25),0.1563003116083546,0.6432381703239476,0.4018188204440367,0.3159999999999999,0.2639999999999999
2,BR(PL2),0.1483855483036776,0.6194001537921568,0.3887502881486819,0.3119999999999999,0.24199999999999988
3,BR(InL2),0.16303476957824933,0.6529268709058421,0.4114322916092302,0.3319999999999999,0.26399999999999996
4,BR(Hiemstra_LM),0.21815861933990266,0.7644269365575669,0.4775712893339073,0.43200000000000005,0.326
