,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.13298683902550062,0.548498121830955,0.35655967701729274,0.27599999999999997,0.21399999999999988
1,BR(BM25),0.13355800412582833,0.5508254077347909,0.35866213837927213,0.2799999999999999,0.21199999999999988
2,BR(PL2),0.1277794045088356,0.533937300295413,0.34882589788032503,0.2639999999999999,0.20999999999999994
3,BR(InL2),0.1419597274051755,0.5729062767128795,0.37047651275905713,0.3079999999999999,0.22199999999999992
4,BR(Hiemstra_LM),0.19794317913276746,0.7395770417512676,0.4492628286455295,0.39999999999999986,0.29999999999999993
