,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14242001951402597,0.5977896099428606,0.3867800624353743,0.3159999999999999,0.23999999999999996
1,BR(BM25),0.14518473038112917,0.6125369571890636,0.3917001038547739,0.31999999999999995,0.23999999999999996
2,BR(PL2),0.13728676881104682,0.586909233291135,0.3796475116946809,0.31199999999999994,0.22599999999999995
3,BR(InL2),0.15250738643905482,0.6322449118656878,0.40158042414682,0.3439999999999999,0.26
4,BR(Hiemstra_LM),0.2080428519593109,0.7342270605368099,0.46601595964453935,0.4039999999999999,0.3139999999999999
