,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15816325252130195,0.6511756662786106,0.4144923068030175,0.348,0.25799999999999995
1,BR(BM25),0.16025383016030378,0.6590655694542104,0.41728431597584675,0.348,0.25999999999999995
2,BR(PL2),0.15244524054681843,0.6332964809553413,0.40562711179119854,0.33599999999999985,0.24599999999999994
3,BR(InL2),0.1673900438205868,0.6508251428615437,0.42560747079444816,0.3639999999999998,0.272
4,BR(Hiemstra_LM),0.22585430829809244,0.7524636087582173,0.4878798069917513,0.41999999999999976,0.3319999999999999
