,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1622923965040451,0.6777611089459501,0.4227009385371545,0.348,0.2579999999999999
1,BR(BM25),0.16320092991900004,0.6811403045642845,0.4246827875916772,0.3439999999999999,0.2579999999999999
2,BR(PL2),0.1556159513179309,0.660852225168061,0.41336599509523425,0.31999999999999984,0.24599999999999997
3,BR(InL2),0.1708848010835977,0.6969173777792572,0.4343477856205687,0.3599999999999999,0.26799999999999996
4,BR(Hiemstra_LM),0.22456850382185742,0.7348015720229369,0.4877949130647057,0.41199999999999987,0.33599999999999997
