,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15902902252342183,0.6493960693077596,0.41562404478128945,0.348,0.2599999999999999
1,BR(BM25),0.161265842149907,0.6704574298064001,0.4195732898924216,0.348,0.25999999999999995
2,BR(PL2),0.15307613329983702,0.63189352127958,0.4068586778496905,0.33599999999999985,0.25399999999999995
3,BR(InL2),0.1668277878435664,0.644746282030237,0.4255056438223756,0.3679999999999998,0.2679999999999999
4,BR(Hiemstra_LM),0.226890054640395,0.7518090484756083,0.4894831256677392,0.4159999999999998,0.33199999999999996
