,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.159616227558461,0.6369801758564023,0.41189230890563056,0.3599999999999999,0.26799999999999996
1,BR(BM25),0.16405664794259875,0.6649839571110289,0.41869492020061005,0.3639999999999998,0.27199999999999996
2,BR(PL2),0.15450467855949157,0.6280945526695527,0.40516797428829693,0.35199999999999987,0.25199999999999995
3,BR(InL2),0.1691568915464021,0.6594066975727424,0.4243229230554805,0.3759999999999999,0.27999999999999997
4,BR(Hiemstra_LM),0.2299631453998529,0.7754009843439812,0.4922716403592978,0.428,0.344
