,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15582141299843127,0.65925743025046,0.40962788882943735,0.35999999999999976,0.26199999999999996
1,BR(BM25),0.1611511217916627,0.6813945989871287,0.416912384822676,0.3559999999999998,0.26599999999999996
2,BR(PL2),0.14979635186614407,0.6399689933263076,0.4006755059643357,0.3479999999999998,0.25199999999999995
3,BR(InL2),0.16471223407249302,0.6657512126375074,0.4212749013611506,0.3759999999999997,0.2779999999999999
4,BR(Hiemstra_LM),0.22095976319631824,0.7360908147747192,0.48058896509149174,0.43999999999999995,0.33399999999999996
