,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.15401416333828527,0.6255460168598136,0.40073055420962567,0.3239999999999999,0.254
1,BR(BM25),0.15600157256077243,0.631025664174837,0.4033527638179347,0.3319999999999998,0.264
2,BR(PL2),0.14647752594903185,0.6144025665775364,0.3898104200635501,0.2999999999999999,0.23999999999999994
3,BR(InL2),0.16281350047300996,0.6225847483961873,0.4139454614563383,0.3439999999999999,0.26799999999999996
4,BR(Hiemstra_LM),0.21836693039632782,0.7794686628480999,0.48550954142422853,0.43199999999999994,0.33199999999999996
