,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1460569799168543,0.5954996076549147,0.38086818387087545,0.31999999999999984,0.24599999999999997
1,BR(BM25),0.14771306922412775,0.5997463873349523,0.3849363569684783,0.3279999999999999,0.242
2,BR(PL2),0.14060996151697647,0.5911922818043714,0.37245180446678033,0.2959999999999998,0.22599999999999998
3,BR(InL2),0.1527698547054465,0.6000226481824644,0.3901931107177129,0.34799999999999975,0.25799999999999995
4,BR(Hiemstra_LM),0.2105446761020776,0.7670742496939682,0.4666427311373742,0.42399999999999993,0.3139999999999999
