,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.14003157822257445,0.602130566571785,0.3843540367825034,0.3159999999999999,0.2379999999999999
1,BR(BM25),0.14347494228354815,0.6164754851760588,0.3901913275019139,0.31999999999999995,0.23999999999999994
2,BR(PL2),0.1359095895845231,0.594111847208795,0.3779377903641866,0.31199999999999994,0.2279999999999999
3,BR(InL2),0.14956652676556717,0.6167484962199772,0.3983077038565892,0.348,0.252
4,BR(Hiemstra_LM),0.20618947152197398,0.7341495474192647,0.4647054735473846,0.3999999999999999,0.3079999999999999
