,name,map,recip_rank,ndcg,P_5,P_10
0,BR(TF_IDF),0.1493873310458508,0.5998137017441778,0.4016480505868099,0.33999999999999986,0.25000000000000006
1,BR(BM25),0.15167367682807925,0.6113055295285917,0.4043195290122069,0.3479999999999998,0.25600000000000006
2,BR(PL2),0.1420156894081462,0.5939534997349639,0.3912820930881755,0.33999999999999986,0.23399999999999996
3,BR(InL2),0.16212411581450936,0.6324110624623931,0.41759855000739604,0.37199999999999983,0.2720000000000001
4,BR(Hiemstra_LM),0.21583121643108796,0.7131149180378441,0.48038819448066095,0.4159999999999999,0.32599999999999996
